trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-209.95838095319263,"{0: 14, 1: 1, 2: 4, 3: 3, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-93.75682213457864,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-176.27743855215556,"{0: 8, 1: 2, 2: 6, 3: 2, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-46.62344265982194,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-166.47340863911708,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-108.54070775448136,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-91.70945876809293,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-159.56949395510472,"{0: 21, 1: 1, 2: 4, 3: 1, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-81.45760965199082,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-88.52819394194275,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-58.828705243279316,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-18.376464087930334,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,16,7.849637934527507,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,12,2.7556287134039152,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-43.05296696260556,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-7.21575097711309,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-40.6610042967295,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,5,-49.76924252037915,"{0: 12, 1: 1, 2: 0, 3: 1, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,3,3.782111967748329,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 1}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-8.525619995780232,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",25,4,-10.775774585651382,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 1}",1
2,True,"{'a': 0, 'e': 0}",20,0,23.798392001445862,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",30,0,24.146304826338962,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",25,2,-16.23923172897595,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 1}",1
5,True,"{'a': 0, 'e': 0}",20,7,19.22017564766241,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",30,0,2.370797072637223,"{0: 27, 1: 1, 2: 1, 3: 1, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",20,13,11.161077000210136,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",30,12,25.932638516332403,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",30,9,-23.98977408364294,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 1}",1
10,True,"{'a': 0, 'e': 0}",30,1,-14.471326450160458,"{0: 26, 1: 1, 2: 0, 3: 2, 4: 0}",1
