trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.05, 'e': 0.951229424500714}",20,11,-29.853970120684483,"{0: 6, 1: 0, 2: 2, 3: 1, 4: 0}",1
2,False,"{'a': 0.05, 'e': 0.9048374180359595}",25,0,-186.33523320080488,"{0: 11, 1: 5, 2: 5, 3: 2, 4: 2}",0
3,False,"{'a': 0.05, 'e': 0.8607079764250578}",20,0,-48.05253197093403,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
4,False,"{'a': 0.05, 'e': 0.8187307530779818}",25,0,-148.64230447282227,"{0: 15, 1: 3, 2: 3, 3: 2, 4: 2}",0
5,False,"{'a': 0.05, 'e': 0.7788007830714049}",20,0,-87.96087157376995,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
6,False,"{'a': 0.05, 'e': 0.7408182206817179}",30,0,-151.13630379480418,"{0: 18, 1: 4, 2: 5, 3: 1, 4: 2}",0
7,False,"{'a': 0.05, 'e': 0.7046880897187134}",20,0,-74.40084467487733,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
8,False,"{'a': 0.05, 'e': 0.6703200460356393}",30,0,-168.00207456992874,"{0: 21, 1: 1, 2: 1, 3: 5, 4: 2}",0
9,False,"{'a': 0.05, 'e': 0.6376281516217733}",20,0,-47.854113137064545,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
10,False,"{'a': 0.05, 'e': 0.6065306597126334}",30,0,-65.05482048414683,"{0: 24, 1: 0, 2: 5, 3: 0, 4: 1}",0
11,False,"{'a': 0.05, 'e': 0.5769498103804866}",20,0,-8.688846122208068,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
12,False,"{'a': 0.05, 'e': 0.5488116360940264}",25,0,-46.957500689782435,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
13,False,"{'a': 0.05, 'e': 0.522045776761016}",25,0,-88.16097636401227,"{0: 18, 1: 1, 2: 3, 3: 2, 4: 1}",0
14,False,"{'a': 0.05, 'e': 0.49658530379140947}",25,0,-81.48364235673549,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
15,False,"{'a': 0.05, 'e': 0.4723665527410147}",30,8,-84.67065373973227,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 2}",1
16,False,"{'a': 0.05, 'e': 0.44932896411722156}",20,10,19.57888818585387,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.05, 'e': 0.42741493194872665}",35,9,-26.356260002827288,"{0: 20, 1: 1, 2: 5, 3: 0, 4: 0}",1
18,False,"{'a': 0.05, 'e': 0.4065696597405991}",20,0,-111.99543286453202,"{0: 10, 1: 1, 2: 8, 3: 0, 4: 1}",0
19,False,"{'a': 0.05, 'e': 0.3867410234545012}",25,17,12.619127412897534,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.05, 'e': 0.36787944117144233}",25,0,-34.3161894414705,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
21,False,"{'a': 0.05, 'e': 0.3499377491111553}",25,0,-51.774714323395685,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
22,False,"{'a': 0.05, 'e': 0.33287108369807955}",20,0,-25.18379399986227,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
23,False,"{'a': 0.05, 'e': 0.31663676937905316}",25,0,-34.61813181898413,"{0: 21, 1: 3, 2: 0, 3: 0, 4: 1}",0
24,False,"{'a': 0.05, 'e': 0.301194211912202}",30,0,-19.343518541612653,"{0: 24, 1: 2, 2: 4, 3: 0, 4: 0}",0
25,False,"{'a': 0.05, 'e': 0.2865047968601901}",25,0,24.791953125699877,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
26,False,"{'a': 0.05, 'e': 0.2725317930340126}",25,0,-80.44895886487137,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",1
27,False,"{'a': 0.05, 'e': 0.2592402606458915}",35,18,-11.045741635991494,"{0: 15, 1: 0, 2: 0, 3: 2, 4: 0}",1
28,False,"{'a': 0.05, 'e': 0.24659696394160643}",30,7,-61.25762268775103,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 2}",1
29,False,"{'a': 0.05, 'e': 0.23457028809379762}",20,0,-53.54457907953373,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
30,False,"{'a': 0.05, 'e': 0.22313016014842982}",30,0,5.307289042572461,"{0: 28, 1: 0, 2: 1, 3: 1, 4: 0}",0
31,False,"{'a': 0.05, 'e': 0.21224797382674304}",25,0,3.5412199488878926,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
32,False,"{'a': 0.05, 'e': 0.20189651799465538}",25,0,22.242676173979824,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
33,False,"{'a': 0.05, 'e': 0.19204990862075408}",20,0,13.911163941846446,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
34,False,"{'a': 0.05, 'e': 0.1826835240527346}",20,0,20.71972334265255,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
35,False,"{'a': 0.05, 'e': 0.17377394345044514}",20,0,9.814644549385612,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
36,False,"{'a': 0.05, 'e': 0.16529888822158653}",25,0,33.569217848488435,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
37,False,"{'a': 0.05, 'e': 0.1572371663136276}",20,0,-29.896124157101283,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
38,False,"{'a': 0.05, 'e': 0.14956861922263504}",20,0,11.624021885432597,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
39,False,"{'a': 0.05, 'e': 0.14227407158651353}",20,0,2.2523745765081062,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
40,False,"{'a': 0.05, 'e': 0.1353352832366127}",30,19,18.553583448177747,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
41,False,"{'a': 0.05, 'e': 0.12873490358780418}",25,0,25.9305298131772,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
42,False,"{'a': 0.05, 'e': 0.1224564282529819}",20,11,-5.02484191748609,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
43,False,"{'a': 0.05, 'e': 0.11648415777349697}",20,0,7.916226756476199,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
44,False,"{'a': 0.05, 'e': 0.11080315836233387}",30,19,4.546848802551023,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
45,False,"{'a': 0.05, 'e': 0.10539922456186433}",20,0,19.231250833840846,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
46,False,"{'a': 0.05, 'e': 0.1002588437228037}",25,13,-22.33392350879907,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
47,False,"{'a': 0.05, 'e': 0.09536916221554961}",30,8,18.072128312117698,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
48,False,"{'a': 0.05, 'e': 0.09071795328941247}",20,0,25.873063253340693,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
49,False,"{'a': 0.05, 'e': 0.0862935864993705}",30,0,-16.625346406526766,"{0: 27, 1: 1, 2: 1, 3: 0, 4: 1}",0
50,False,"{'a': 0.05, 'e': 0.0820849986238988}",20,0,29.444652470272594,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
51,False,"{'a': 0.05, 'e': 0.07808166600115313}",25,6,29.47791748036745,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.05, 'e': 0.07427357821433388}",25,3,20.334720783643608,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
53,False,"{'a': 0.05, 'e': 0.07065121306042957}",20,10,-4.522986798353864,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
54,False,"{'a': 0.05, 'e': 0.06720551273974976}",25,0,13.429222247130102,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
55,False,"{'a': 0.05, 'e': 0.06392786120670757}",20,13,12.277965583212202,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.05, 'e': 0.06081006262521795}",20,0,21.287331885735426,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
57,False,"{'a': 0.05, 'e': 0.057844320874838456}",30,0,41.714097999727635,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
58,False,"{'a': 0.05, 'e': 0.05502322005640721}",25,15,19.247532904911818,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.05, 'e': 0.05233970594843238}",20,0,27.937200273572078,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.05, 'e': 0.049787068367863944}",20,9,18.395068157636313,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.05, 'e': 0.04735892439114091}",25,0,38.588438345724754,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
62,False,"{'a': 0.05, 'e': 0.0450492023935578}",25,7,29.455504979323333,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.05, 'e': 0.042852126867040166}",25,11,25.120523158534546,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.05, 'e': 0.04076220397836621}",20,5,25.156296280038173,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.05, 'e': 0.03877420783172201}",20,0,26.56107414631437,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
66,False,"{'a': 0.05, 'e': 0.036883167401239994}",30,15,23.282797974614578,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.05, 'e': 0.035084354100845025}",20,12,15.698388172929281,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.05, 'e': 0.033373269960326066}",35,7,17.14798707319047,"{0: 26, 1: 0, 2: 2, 3: 0, 4: 0}",1
69,False,"{'a': 0.05, 'e': 0.03174563637806794}",25,0,35.28780363722709,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
70,False,"{'a': 0.05, 'e': 0.0301973834223185}",20,11,16.798101210858547,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.05, 'e': 0.028724639654239423}",20,0,14.375720915627232,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
72,False,"{'a': 0.05, 'e': 0.02732372244729256}",25,18,13.460622498350993,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.05, 'e': 0.025991128778755333}",20,0,28.187052711631388,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
74,False,"{'a': 0.05, 'e': 0.024723526470339388}",20,0,27.46686595143253,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
75,False,"{'a': 0.05, 'e': 0.023517745856009107}",25,9,29.780939675351,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.05, 'e': 0.02237077185616559}",20,12,-24.627029430754185,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
77,False,"{'a': 0.05, 'e': 0.02127973643837717}",20,0,-10.938695653462664,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
