trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-136.64155907457138,"{0: 18, 1: 5, 2: 3, 3: 3, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-147.03436470137436,"{0: 12, 1: 0, 2: 4, 3: 2, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-156.25815498926156,"{0: 13, 1: 1, 2: 7, 3: 3, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",35,0,-144.35794010799157,"{0: 22, 1: 5, 2: 4, 3: 3, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-107.24482053564465,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-87.29297513773795,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-57.05853153269911,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-100.77007845666078,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-69.38509781148082,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-143.08997274140125,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-161.76871516895267,"{0: 18, 1: 5, 2: 3, 3: 2, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-109.78981358462613,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",35,0,-105.25273600173969,"{0: 23, 1: 7, 2: 3, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-85.9492299301832,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-157.3972651607812,"{0: 12, 1: 2, 2: 9, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-229.02910803233266,"{0: 16, 1: 0, 2: 9, 3: 2, 4: 3}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-168.80163765210244,"{0: 18, 1: 5, 2: 4, 3: 0, 4: 3}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,1,-149.5259525075802,"{0: 16, 1: 3, 2: 7, 3: 2, 4: 1}",1
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-68.47970229637562,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,13,-74.86997154499394,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 2}",1
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-184.68344349832176,"{0: 16, 1: 1, 2: 4, 3: 0, 4: 4}",0
